incgroup,beta,beta_tstat,beta_pvalue,alpha,r_squared,n_obs
Bottom50,-0.007525072699556552,-0.11557527510776697,0.9084922253193873,0.0035156591346318174,0.0002902992717791486,48
Middle40,-0.0065951018580737986,-0.11933478364108205,0.9055297795485544,0.0037028529474379744,0.0003094865924544443,48
Top1,0.1847695451828883,0.5100280103444,0.6124704510226004,0.012692718337516796,0.005623170089869567,48
Top10,-0.20004315264605071,-1.9701746763478594,0.05485538095448755,0.013610642744286881,0.0778160517955887,48
