YEAR,incgroup,ln_RLABINC
1976,Group1,9.043046167540435
1976,Group2,9.93843193701313
1976,Group3,10.309890192921706
1976,Group4,10.613711474084424
1976,Group5,10.89123302324729
1976,Group6,11.135013847063568
1976,Group7,11.453531656469838
1976,Group8,11.948761528552536
1977,Group1,9.058248942418109
1977,Group2,9.953715361507538
1977,Group3,10.319627736840115
1977,Group4,10.629322877635868
1977,Group5,10.893976021364844
1977,Group6,11.110738231527856
1977,Group7,11.421617524414403
1977,Group8,11.902587355699472
1978,Group1,9.066091297075317
1978,Group2,9.93746858253909
1978,Group3,10.299273563244164
1978,Group4,10.621651734784562
1978,Group5,10.893736301674554
1978,Group6,11.119194933051519
1978,Group7,11.49861087085235
1978,Group8,11.991731820701942
1979,Group1,9.001644549430395
1979,Group2,9.900278924899393
1979,Group3,10.26328023348186
1979,Group4,10.60831281010446
1979,Group5,10.893192327331509
1979,Group6,11.098471148725668
1979,Group7,11.462715787746339
1979,Group8,11.956750426146757
1980,Group1,8.917592880032142
1980,Group2,9.857336322538579
1980,Group3,10.224201595869555
1980,Group4,10.545252067561593
1980,Group5,10.820271428986912
1980,Group6,11.04799957654505
1980,Group7,11.404030029724483
1980,Group8,11.79713428427276
1981,Group1,8.916237805249033
1981,Group2,9.847116854209299
1981,Group3,10.210748560540662
1981,Group4,10.524656267691254
1981,Group5,10.817551309323429
1981,Group6,11.050525023861365
1981,Group7,11.347515335571702
1981,Group8,11.675152436990999
1982,Group1,8.926761021255802
1982,Group2,9.829573582856165
1982,Group3,10.215926220624993
1982,Group4,10.55671959211211
1982,Group5,10.826214743768347
1982,Group6,11.05605288301274
1982,Group7,11.38572620694622
1982,Group8,11.813201387223426
1983,Group1,8.913454904456941
1983,Group2,9.841152017070726
1983,Group3,10.232916525359919
1983,Group4,10.564994981019654
1983,Group5,10.846144453043681
1983,Group6,11.086447792216589
1983,Group7,11.487288033629135
1983,Group8,12.002022799011998
1984,Group1,8.88778155039375
1984,Group2,9.865317278646966
1984,Group3,10.256483675550191
1984,Group4,10.591864663105351
1984,Group5,10.86202429188733
1984,Group6,11.094511168283088
1984,Group7,11.483772302062675
1984,Group8,11.968478771940932
1985,Group1,8.896384596270032
1985,Group2,9.884177275454489
1985,Group3,10.26595650371792
1985,Group4,10.607056676709608
1985,Group5,10.903918962222466
1985,Group6,11.12045259669086
1985,Group7,11.438021813423765
1985,Group8,11.952349793453772
1986,Group1,8.987238087618808
1986,Group2,9.908220990870992
1986,Group3,10.283318156874186
1986,Group4,10.627659804387115
1986,Group5,10.919308410186472
1986,Group6,11.175500816503664
1986,Group7,11.496798117023765
1986,Group8,11.953765024088908
1987,Group1,8.970468266826197
1987,Group2,9.903516502013554
1987,Group3,10.295037084114554
1987,Group4,10.634099033541423
1987,Group5,10.920740167936584
1987,Group6,11.159836608368725
1987,Group7,11.509378099258722
1987,Group8,11.937076003855958
1988,Group1,8.940008463099218
1988,Group2,9.879328507882644
1988,Group3,10.285913796215773
1988,Group4,10.633559064553012
1988,Group5,10.921714589491868
1988,Group6,11.154938391531935
1988,Group7,11.480939315390705
1988,Group8,11.910603578470623
1989,Group1,8.970357123198669
1989,Group2,9.89317407456638
1989,Group3,10.293247908809727
1989,Group4,10.639462503673954
1989,Group5,10.923824297595903
1989,Group6,11.15648656499193
1989,Group7,11.561504271744617
1989,Group8,11.976997867874282
1990,Group1,8.936929350286853
1990,Group2,9.87482637132772
1990,Group3,10.26335636880921
1990,Group4,10.601076313613396
1990,Group5,10.909296305528688
1990,Group6,11.160175634806812
1990,Group7,11.571675639778258
1990,Group8,11.970937904547815
1991,Group1,9.019571833581812
1991,Group2,9.876310855093
1991,Group3,10.24628306596956
1991,Group4,10.584846898473245
1991,Group5,10.885650204713022
1991,Group6,11.126235263570429
1991,Group7,11.523715674562117
1991,Group8,11.91335610409414
1992,Group1,8.970821328495816
1992,Group2,9.865671385427529
1992,Group3,10.246830547251255
1992,Group4,10.591964488801779
1992,Group5,10.899564048755984
1992,Group6,11.140406152115045
1992,Group7,11.514811389089498
1992,Group8,11.891764163667482
1993,Group1,8.942804010369171
1993,Group2,9.878264491057568
1993,Group3,10.272687828457725
1993,Group4,10.60395007109785
1993,Group5,10.90397530005175
1993,Group6,11.137938711581096
1993,Group7,11.522799277306962
1993,Group8,11.88652476126421
1994,Group1,8.925637016122373
1994,Group2,9.86562486595242
1994,Group3,10.25534383308056
1994,Group4,10.594470905335866
1994,Group5,10.9034527613979
1994,Group6,11.171877149720784
1994,Group7,11.54561731035727
1994,Group8,11.859161988412541
1995,Group1,8.961288528180457
1995,Group2,9.862063388710357
1995,Group3,10.268909717033369
1995,Group4,10.61643357137172
1995,Group5,10.914287874216269
1995,Group6,11.198129106074974
1995,Group7,11.556986376283557
1995,Group8,11.853071285876176
1996,Group1,8.880270255928817
1996,Group2,9.851662387651325
1996,Group3,10.251123229552428
1996,Group4,10.600090462699672
1996,Group5,10.910429801813422
1996,Group6,11.184046553463043
1996,Group7,11.57721059586815
1996,Group8,12.677699310351668
1997,Group1,8.983692925941554
1997,Group2,9.87483464728913
1997,Group3,10.257761303011353
1997,Group4,10.604568243718345
1997,Group5,10.936307370751496
1997,Group6,11.206215715628952
1997,Group7,11.591483095002241
1997,Group8,12.765669425948438
1998,Group1,9.073637803873158
1998,Group2,9.920536135537567
1998,Group3,10.279976332986966
1998,Group4,10.62254209214282
1998,Group5,10.949627707830382
1998,Group6,11.23107578129845
1998,Group7,11.643447867658905
1998,Group8,12.772156671075884
1999,Group1,9.021420717287285
1999,Group2,9.963371038418463
1999,Group3,10.328967546475285
1999,Group4,10.65982963173189
1999,Group5,10.993255025764416
1999,Group6,11.249423468169628
1999,Group7,11.803704785753494
1999,Group8,12.869628473298805
2000,Group1,9.043875046800213
2000,Group2,9.949724728477081
2000,Group3,10.321435890388994
2000,Group4,10.659259969048378
2000,Group5,10.999811742712085
2000,Group6,11.28235035298498
2000,Group7,11.81933730216852
2000,Group8,12.51739018490073
2001,Group1,9.08932500329062
2001,Group2,9.963515949530898
2001,Group3,10.32388640307873
2001,Group4,10.668401307626379
2001,Group5,11.011379403807402
2001,Group6,11.29158746675401
2001,Group7,11.936930221410863
2001,Group8,12.793841989833616
2002,Group1,9.173408392251082
