incgroup,L,a3_coef,a3_tstat,a3_pvalue,n_obs,r2
Group1,2,-0.33054551044979436,-2.3493333054375367,0.02370526603919748,46,0.19456975517487518
Group2,2,-0.1601973647995553,-2.2919405610847248,0.027115884321376217,46,0.20656276320126343
Group3,2,-0.18674822520183057,-2.5237407491585184,0.015580787524655675,46,0.19795865675729563
Group4,2,-0.19787415160554378,-2.4824282072196278,0.017234848272473985,46,0.14913558789642356
Group5,2,-0.1752291032223103,-2.6257237829143785,0.012099154939209466,46,0.21551801915141322
Group6,2,-0.1943922773706858,-2.422419144241044,0.01992263040644925,46,0.13987696918442538
Group7,2,-0.24023820637613919,-2.3135243692800733,0.025784805551217663,46,0.13399691953298187
Group8,2,-0.20397350132064795,-1.9194344330065343,0.061907164905845594,46,0.09811066751504327
