YEAR,incgroup,y_t,Dy_t,Dy_t_lag1,Dy_t_lag2,log_div_t,ln_RLABINC_t
1979,Bottom50,8.275762622593403,0.024251801809976214,0.010954097395892148,-0.00500469035138984,1.3309802715109509,9.606742894104354
1980,Bottom50,8.286821542814291,0.011058920220888169,0.024251801809976214,0.010954097395892148,1.25467755327468,9.541499096088971
1981,Bottom50,8.314265074041382,0.027443531227090645,0.011058920220888169,0.024251801809976214,1.2069414761214812,9.521206550162862
1982,Bottom50,8.331037841375792,0.016772767334410688,0.027443531227090645,0.011058920220888169,1.204709191447922,9.535747032823714
1983,Bottom50,8.331726785114462,0.0006889437386696784,0.016772767334410688,0.027443531227090645,1.21744439668358,9.549171181798043
1984,Bottom50,8.318069189235944,-0.013657595878518336,0.0006889437386696784,0.016772767334410688,1.2223164776253483,9.540385666861292
1985,Bottom50,8.33229268083587,0.014223491599926419,-0.013657595878518336,0.0006889437386696784,1.2301418082165847,9.562434489052455
1986,Bottom50,8.30668768631685,-0.02560499451901954,0.014223491599926419,-0.013657595878518336,1.2488721789288717,9.555559865245723
1987,Bottom50,8.31717780213515,0.010490115818299728,-0.02560499451901954,0.014223491599926419,1.2475973177244526,9.564775119859602
1988,Bottom50,8.342419273987902,0.02524147185275183,0.010490115818299728,-0.02560499451901954,1.2513135123982402,9.593732786386143
1989,Bottom50,8.321933203169872,-0.020486070818030555,0.02524147185275183,0.010490115818299728,1.242204190431449,9.564137393601321
1990,Bottom50,8.329111375685347,0.007178172515475367,-0.020486070818030555,0.02524147185275183,1.228032708537962,9.557144084223308
1991,Bottom50,8.347480442885633,0.018369067200286082,0.007178172515475367,-0.020486070818030555,1.2197818318507236,9.567262274736356
1992,Bottom50,8.3302779563006,-0.017202486585032872,0.018369067200286082,0.007178172515475367,1.2201386325999983,9.550416588900598
1993,Bottom50,8.343939574825177,0.013661618524576369,-0.017202486585032872,0.018369067200286082,1.2195122696693004,9.563451844494477
1994,Bottom50,8.32004071656549,-0.023898858259686406,0.013661618524576369,-0.017202486585032872,1.222838575736288,9.542879292301778
1995,Bottom50,8.354189765298283,0.03414904873279312,-0.023898858259686406,0.013661618524576369,1.2225242361934225,9.576714001491705
1996,Bottom50,8.314783164077003,-0.03940660122128037,0.03414904873279312,-0.023898858259686406,1.2170842674658826,9.531867431542885
1997,Bottom50,8.368649165587819,0.053866001510815664,-0.03940660122128037,0.03414904873279312,1.2134048492314777,9.582054014819297
1998,Bottom50,8.412881574435907,0.04423240884808877,0.053866001510815664,-0.03940660122128037,1.2148068613909997,9.627688435826906
1999,Bottom50,8.417783949147047,0.004902374711139856,0.04423240884808877,0.053866001510815664,1.209194232960751,9.626978182107798
2000,Bottom50,8.461162203413881,0.04337825426683395,0.004902374711139856,0.04423240884808877,1.1912058542399875,9.652368057653868
