L,a3_common,a3_top_extra,wald_pvalue
1,-0.09203807901642452,-0.04187047746610812,0.5735391887144636
2,-0.08679951880909229,-0.045329006932490146,0.5218210510936461
3,-0.09218831318037096,-0.04107299739061237,0.5086489523268639
