L,a3_common,a3_common_t,a3_top_extra,a3_top_extra_t,wald_stat,wald_pvalue,n_obs
1,-0.1804428004650837,-2.749242073900934,0.07578235957122648,1.4538828315881855,2.11377528798688,0.1459787934579031,376
2,-0.18055890345466638,-3.043357086310287,0.07746365065998874,1.5506686429450667,2.4045732402130944,0.12098111280777026,368
3,-0.18318328553973465,-3.0336934830027307,0.07615040673821959,1.5862421991786886,2.5161643144552417,0.11268437849470071,360
